Hora,Dia,BA1,BA2,BA3,Profundidade de Secchi (m),PORTO1,PORTO2,PORTO3,METROS,6x61,6x62,6x63,METROS,ZIPPY1,ZIPPY2,ZIPPY3,METROS,C°
07:00,02/12/2022,"4,72","4,51","4,43",4,"6,25","6,18","6,15","4,1","5,5","5,29","5,34","4,3","5,53","5,57",-,"4,1","27,8"
09:20,02/12/2022,"5,27","5,25","5,32","4,2","6,48","6,68",-,4,"6,12","6,16","6,05","4,5","5,5","5,53","5,87",4,"28,1"
12:00,02/12/2022,"6,52","6,35","5,82","3,8","7,15","6,86","7,18","3,8","6,29","6,06","5,98",4,"6,99","6,83","6,72","3,9","28,6"
07:00,03/12/2022,"5,4","5,3",5,4,"5,8","5,7","5,7","4,2","5,7","5,7","5,7",4,"5,6","5,5","5,5","4,3","27,9"
09:20,03/12/2022,"5,2","5,1",5,4,6,6,6,4,6,6,"5,8","3,5","5,8","5,7","5,7",4,28
07:00,05/12/2022,"4,5","4,4","4,4","3,5",5,5,5,"3,5","4,9","4,9","4,9","3,9","5,1","5,1","5,1","3,8","27,6"
09:00,05/12/2022,"5,8","5,7","5,6","3,4","5,3",5,5,"3,3","5,2","5,1","5,1","3,5","5,4","5,3","5,3","3,7","27,7"
12:00,05/12/2022,"6,4","6,3","5,9",4,"5,5","5,3","5,2","3,5","5,4","5,3",5,"3,7","5,8","5,6","5,3","3,8",28
07:00,06/12/2022,6,"5,9","5,9","4,15","5,8","5,8","5,6",4,"6,3","6,3","6,3","3,5","5,6","5,7","5,6","3,5","27,9"
12:00,06/12/2022,"6,7","6,6","5,8",4,"6,8","6,6","6,5","3,9","6,5","6,5","6,1","3,5","5,8","5,7","5,4","3,6","28,2"
09:00,07/12/2022,"5,4","5,3","5,3",4,"5,6","5,6","5,5","3,6","5,5","5,4","5,4","3,7","5,3","5,4","5,5","3,8","27,9"
12:00,07/12/2022,"6,1","5,5","5,4","4,3","6,2",6,"5,8","4,5","6,2",6,"5,5","4,7","5,8","5,5","5,2",4,"28,6"
07:00,08/12/2022,"5,2","5,2","5,1","4,1","5,7","5,7","5,6",4,"5,1","5,2",5,"3,9","5,4","5,5","5,4","3,4","28,1"
09:00,08/12/2022,"5,3","5,2",5,"4,2","5,6","5,5","5,3",4,"5,5","5,4","5,4","3,4","5,6","5,4","5,4,","4,5","28,2"
12:00,08/12/2022,"5,6",6,"5,7","3,8","5,1","5,5","6,1","3,5","5,7","6,5","5,1","3,6","5,6","5,7","5,7","3,5","28,5"
06:00,09/12/2022,"6,4","6,4","4,3","3,9","6,2","5,8","5,2","3,6","6,4","5,9","5,9","3,5","6,3","6,3","5,8","3,5","28,2"
08:00,09/12/2022,"6,3","5,9","5,3",4,"6,1","5,6","5,4",4,6,"6,1","5,8",4,"6,1","6,9:","5,6","4,1","28,4"
06:00,10/12/2022,5,5,"4,9",4,5,5,6,4,"5,4","5,4",6,"3,6","5,8:","5,8","6,2","3,8","28,3"
